sample_id,spcode,species,notes,sex
DK72,RHTR,Rhus trilobata,,
JDK11,JUPI,Juniperus pinchotii,,
JDK12,JUPI,Juniperus pinchotii,,
JDK13,JUPI,Juniperus pinchotii,,
JDK14,JUPI,Juniperus pinchotii,,
JDK15,JUPI,Juniperus pinchotii,,
JDK16,JUPI,Juniperus pinchotii,,
JDK17,JUPI,Juniperus pinchotii,,
JDK18,JUPI,Juniperus pinchotii,,
JDK19,JUPI,Juniperus pinchotii,,
JDK20,JUPI,Juniperus pinchotii,,
DK73,JUPI,Juniperus pinchotii,,
DK74,PRGL2,Prosopis glandulosa,,
DK75,RHTR,Rhus trilobata,,
DK76,JUPI,Juniperus pinchotii,,
DK77,PRGL2,Prosopis glandulosa,,
DK78,RHTR,Rhus trilobata,,
DK79,JUPI,Juniperus pinchotii,,
DK80,PRGL2,Prosopis glandulosa,,
DK81,RHTR,Rhus trilobata,,
DK82,JUPI,Juniperus pinchotii,,
DK83,PRGL2,Prosopis glandulosa,,
DK84,RHTR,Rhus trilobata,,
DK86,PRGL2,Prosopis glandulosa,,
DK87,RHTR,Rhus trilobata,,
DK88,JUPI,Juniperus pinchotii,,
DK89,PRGL2,Prosopis glandulosa,,
DK90,RHTR,Rhus trilobata,,
JDK21,JUPI,Juniperus pinchotii,,
JDK22,JUPI,Juniperus pinchotii,,
JDK23,JUPI,Juniperus pinchotii,,
JDK24,JUPI,Juniperus pinchotii,,
JDK25,JUPI,Juniperus pinchotii,,
JDK26,JUPI,Juniperus pinchotii,,
JDK27,JUPI,Juniperus pinchotii,,
JDK28,JUPI,Juniperus pinchotii,,
JDK29,JUPI,Juniperus pinchotii,,
JDK30,JUPI,Juniperus pinchotii,,
DK91,JUPI,Juniperus pinchotii,,
DK92,PRGL2,Prosopis glandulosa,,
DK93,RHTR,Rhus trilobata,,
DK94,JUPI,Juniperus pinchotii,,
DK95,PRGL2,Prosopis glandulosa,,
DK97,JUPI,Juniperus pinchotii,,
DK98,PRGL2,Prosopis glandulosa,,
DK99,RHTR,Rhus trilobata,,
DK100,JUPI,Juniperus pinchotii,,
DK101,PRGL2,Prosopis glandulosa,,
DK102,RHTR,Rhus trilobata,,
DK103,JUPI,Juniperus pinchotii,,
DK104,PRGL2,Prosopis glandulosa,,
DK105,RHTR,Rhus trilobata,,
DK106,JUPI,Juniperus pinchotii,,
DK107,PRGL2,Prosopis glandulosa,,
DK108,RHTR,Rhus trilobata,,
JDK31,JUPI,Juniperus pinchotii,,
JDK32,JUPI,Juniperus pinchotii,,
JDK33,JUPI,Juniperus pinchotii,,
JDK34,JUPI,Juniperus pinchotii,,
JDK35,JUPI,Juniperus pinchotii,,
JDK36,JUPI,Juniperus pinchotii,,
JDK37,JUPI,Juniperus pinchotii,,
JDK38,JUPI,Juniperus pinchotii,,
JDK39,JUPI,Juniperus pinchotii,,
JDK40,JUPI,Juniperus pinchotii,,
FT01,JUPI,Juniperus pinchotii,,
FT02,JUPI,Juniperus pinchotii,,
FT03,JUPI,Juniperus pinchotii,,
FT04,JUPI,Juniperus pinchotii,,female
FT05,JUPI,Juniperus pinchotii,,
FT06,JUPI,Juniperus pinchotii,,
FT07,JUPI,Juniperus pinchotii,,
FT08,RHTR,Rhus trilobata,,
FT09,RHTR,Rhus trilobata,,
FT10,RHTR,Rhus trilobata,,
FT11,RHTR,Rhus trilobata,,
FT12,RHTR,Rhus trilobata,,
FT13,RHTR,Rhus trilobata,,
FT14,RHTR,Rhus trilobata,,
FT15,PRGL2,Prosopis glandulosa,,
FT16,PRGL2,Prosopis glandulosa,,
FT17,PRGL2,Prosopis glandulosa,,
FT18,PRGL2,Prosopis glandulosa,,
FT19,PRGL2,Prosopis glandulosa,,
FT20,PRGL2,Prosopis glandulosa,,
FT21,PRGL2,Prosopis glandulosa,,
FT22,PRAN3,Prunus angustifolia,,
FT23,PRAN3,Prunus angustifolia,,
FT24,PRAN3,Prunus angustifolia,,
FT25,PRAN3,Prunus angustifolia,,
FT26,PRAN3,Prunus angustifolia,,
FT27,PRAN3,Prunus angustifolia,,
FT28,PRAN3,Prunus angustifolia,,
FT29,CELAR,Celtis laevigata,,
FT30,CELAR,Celtis laevigata,,
FT31,CELAR,Celtis laevigata,,
FT32,CELAR,Celtis laevigata,,
FT33,CELAR,Celtis laevigata,,
FT34,CELAR,Celtis laevigata,,
FT35,CELAR,Celtis laevigata,,
ST01,QUVI,Quercus virgiana,,
ST02,QUVI,Quercus virgiana,,
ST03,QUVI,Quercus virgiana,,
ST04,QUVI,Quercus virgiana,,
ST05,QUVI,Quercus virgiana,,
ST06,QUVI,Quercus virgiana,,
ST07,QUVI,Quercus virgiana,,
ST08,SOSE3,Sophora secundiflora,,
ST09,SOSE3,Sophora secundiflora,,
ST10,SOSE3,Sophora secundiflora,,
ST11,SOSE3,Sophora secundiflora,,
ST12,SOSE3,Sophora secundiflora,,
ST13,SOSE3,Sophora secundiflora,,
ST14,SOSE3,Sophora secundiflora,,
ST15,FOPU2,Forestiera pubescens,,
ST16,FOPU2,Forestiera pubescens,,
ST17,FOPU2,Forestiera pubescens,,
ST18,FOPU2,Forestiera pubescens,,
ST19,FOPU2,Forestiera pubescens,,
ST20,FOPU2,Forestiera pubescens,,
ST21,FOPU2,Forestiera pubescens,,
ST22,SEBE2,Senegalia berlandieri,,
ST23,SEBE2,Senegalia berlandieri,,
ST24,SEBE2,Senegalia berlandieri,,
ST25,SEBE2,Senegalia berlandieri,,
ST26,SEBE2,Senegalia berlandieri,,
ST27,SEBE2,Senegalia berlandieri,,
ST28,SEBE2,Senegalia berlandieri,,
ST29,JUAS,Juniperus ashei,,
ST30,JUAS,Juniperus ashei,,
ST31,JUAS,Juniperus ashei,,
ST32,JUAS,Juniperus ashei,,
ST33,JUAS,Juniperus ashei,,
ST34,JUAS,Juniperus ashei,,
ST35,JUAS,Juniperus ashei,,
ST36,JUAS,Juniperus ashei,,
ST37,JUAS,Juniperus ashei,,
ST38,JUAS,Juniperus ashei,,female
ST39,JUAS,Juniperus ashei,,female
ST40,JUAS,Juniperus ashei,,
ST41,JUAS,Juniperus ashei,,
ST42,JUAS,Juniperus ashei,,
TD01,MATR3,Mahonia trifoliolata,,
TD02,MATR3,Mahonia trifoliolata,,
TD03,MATR3,Mahonia trifoliolata,,
TD04,MATR3,Mahonia trifoliolata,,
TD05,MATR3,Mahonia trifoliolata,,
TD06,DITE3,Diospyros texana,,
TD07,DITE3,Diospyros texana,,
TD08,DITE3,Diospyros texana,,
TD09,DITE3,Diospyros texana,,
TD10,MATR3,Mahonia trifoliolata,,
TD11,MATR3,Mahonia trifoliolata,,
TD12,DITE3,Diospyros texana,,
TD13,DITE3,Diospyros texana,,
TD14,DITE3,Diospyros texana,,
TD15,RHVI3,Rhus virens,,
TD16,RHVI3,Rhus virens,,
TD17,RHVI3,Rhus virens,,
TD18,RHVI3,Rhus virens,,
TD19,RHVI3,Rhus virens,,
TD20,RHVI3,Rhus virens,,
TD21,RHVI3,Rhus virens,,
TD22,PRGL2,Prosopis glandulosa,,
TD23,PRGL2,Prosopis glandulosa,,
TD24,PRGL2,Prosopis glandulosa,,
TD25,PRGL2,Prosopis glandulosa,,
TD26,PRGL2,Prosopis glandulosa,,
TD27,CELAR,Celtis laevigata,,
TD28,CELAR,Celtis laevigata,,
TD29,CELAR,Celtis laevigata,,
TD30,CELAR,Celtis laevigata,,
TD31,CELAR,Celtis laevigata,,
FRT01,PRAN3,Prunus angustifolia,,
FRT02,PRAN3,Prunus angustifolia,,
FRT03,PRAN3,Prunus angustifolia,,
FRT04,PRAN3,Prunus angustifolia,,
FRT05,PRAN3,Prunus angustifolia,,
FRT06,PRAN3,Prunus angustifolia,,
FRT07,PRAN3,Prunus angustifolia,,
FRT08,RHTR,Rhus trilobata,,
FRT09,RHTR,Rhus trilobata,,
FRT10,RHTR,Rhus trilobata,,
FRT11,RHTR,Rhus trilobata,,
FRT12,RHTR,Rhus trilobata,,
FRT13,RHTR,Rhus trilobata,,
FRT14,RHTR,Rhus trilobata,,
FRT15,PRGL2,Prosopis glandulosa,,
FRT16,PRGL2,Prosopis glandulosa,,
FRT17,PRGL2,Prosopis glandulosa,,
FRT18,PRGL2,Prosopis glandulosa,,
FRT19,PRGL2,Prosopis glandulosa,,
FRT20,PRGL2,Prosopis glandulosa,,
FRT21,PRGL2,Prosopis glandulosa,,
FRT22,JUPI,Juniperus pinchotii,,
FRT23,JUPI,Juniperus pinchotii,,
FRT24,JUPI,Juniperus pinchotii,,
FRT25,JUPI,Juniperus pinchotii,,
FRT26,JUPI,Juniperus pinchotii,,
FRT27,JUPI,Juniperus pinchotii,,
FRT28,JUPI,Juniperus pinchotii,,
FRT29,JUPI,Juniperus pinchotii,,female
FRT30,JUPI,Juniperus pinchotii,,female
FRT31,JUPI,Juniperus pinchotii,,female
FRT32,JUPI,Juniperus pinchotii,,
FRT33,JUPI,Juniperus pinchotii,,female
FRT34,JUPI,Juniperus pinchotii,,female
FRT35,JUPI,Juniperus pinchotii,,female
FFT01,JUAS,Juniperus ashei,,
FFT02,JUAS,Juniperus ashei,,
FFT03,JUAS,Juniperus ashei,,
FFT05,JUAS,Juniperus ashei,,
FFT06,JUAS,Juniperus ashei,,
FFT07,JUAS,Juniperus ashei,,
FFT08,DITE3,Diospyros texana,,
FFT09,DITE3,Diospyros texana,,
FFT10,DITE3,Diospyros texana,,
FFT11,DITE3,Diospyros texana,,
FFT12,DITE3,Diospyros texana,,
FFT13,DITE3,Diospyros texana,,
FFT14,DITE3,Diospyros texana,,
FFT15,JUAS,Juniperus ashei,,
FFT16,PRGL2,Prosopis glandulosa,,
FFT17,PRGL2,Prosopis glandulosa,,
FFT18,PRGL2,Prosopis glandulosa,,
FFT19,PRGL2,Prosopis glandulosa,,
FFT20,PRGL2,Prosopis glandulosa,,
FFT21,PRGL2,Prosopis glandulosa,,
FFT211,PRGL2,Prosopis glandulosa,,
FFT22,PRGL2,Prosopis glandulosa,,
FFT23,JUPI,Juniperus pinchotii,,female
FFT24,JUPI,Juniperus pinchotii,,female
FFT25,JUPI,Juniperus pinchotii,,female
FFT26,JUPI,Juniperus pinchotii,,female
FFT27,JUPI,Juniperus pinchotii,,female
FFT28,JUPI,Juniperus pinchotii,,female
FFT29,JUPI,Juniperus pinchotii,,female
FFT30,RHTR,Rhus trilobata,,
FFT31,RHTR,Rhus trilobata,,
FFT32,RHTR,Rhus trilobata,,
FFT33,RHTR,Rhus trilobata,,
FFT34,RHTR,Rhus trilobata,,
FFT35,RHTR,Rhus trilobata,,
FFT36,RHTR,Rhus trilobata,,
SXT01,DITE3,Diospyros texana,,
SXT02,DITE3,Diospyros texana,,
SXT03,DITE3,Diospyros texana,,
SXT04,DITE3,Diospyros texana,,
SXT05,DITE3,Diospyros texana,,
SXT06,DITE3,Diospyros texana,,
SXT07,DITE3,Diospyros texana,,
SXT08,DITE3,Diospyros texana,,
SXT09,MATR3,Mahonia trifoliolata,,
SXT10,MATR3,Mahonia trifoliolata,,
SXT11,MATR3,Mahonia trifoliolata,,
SXT12,MATR3,Mahonia trifoliolata,,
SXT13,MATR3,Mahonia trifoliolata,,
SXT14,MATR3,Mahonia trifoliolata,,
SXT15,MATR3,Mahonia trifoliolata,,
SXT16,SOSE3,Sophora secundiflora,,
SXT17,SOSE3,Sophora secundiflora,,
SXT18,SOSE3,Sophora secundiflora,,
SXT19,SOSE3,Sophora secundiflora,,
SXT20,SOSE3,Sophora secundiflora,,
SXT21,SOSE3,Sophora secundiflora,,
SXT22,SOSE3,Sophora secundiflora,,
SXT23,RHVI3,Rhus virens,,
SXT24,RHVI3,Rhus virens,,
SXT25,RHVI3,Rhus virens,,
SXT26,RHVI3,Rhus virens,,
SXT27,RHVI3,Rhus virens,,
SXT28,RHVI3,Rhus virens,,
SXT29,RHVI3,Rhus virens,,
SXT30,JUAS,Juniperus ashei,,
SXT31,JUAS,Juniperus ashei,,
SXT32,JUAS,Juniperus ashei,,
SVT01,PRAN3,Prunus angustifolia,,
SVT02,PRAN3,Prunus angustifolia,,
SVT03,PRAN3,Prunus angustifolia,,
SVT04,PRAN3,Prunus angustifolia,,
SVT05,PRAN3,Prunus angustifolia,,
SVT06,PRAN3,Prunus angustifolia,,
SVT07,PRAN3,Prunus angustifolia,,
SVT08,JUPI,Juniperus pinchotii,,
SVT09,JUPI,Juniperus pinchotii,,
SVT10,JUPI,Juniperus pinchotii,,
SVT11,JUPI,Juniperus pinchotii,,
SVT12,JUPI,Juniperus pinchotii,,
SVT13,JUPI,Juniperus pinchotii,,
SVT14,JUPI,Juniperus pinchotii,,
SVT15,JUPI,Juniperus pinchotii,,female
SVT16,JUPI,Juniperus pinchotii,,female
SVT17,JUPI,Juniperus pinchotii,,female
SVT18,JUPI,Juniperus pinchotii,,female
SVT19,JUPI,Juniperus pinchotii,,female
SVT20,JUPI,Juniperus pinchotii,,female
SVT21,JUPI,Juniperus pinchotii,,female
SVT22,RHTR,Rhus trilobata,,
SVT23,RHTR,Rhus trilobata,,
SVT24,RHTR,Rhus trilobata,,
SVT25,PRGL2,Prosopis glandulosa,,
SVT26,PRGL2,Prosopis glandulosa,,
SVT27,PRGL2,Prosopis glandulosa,,
SVT28,PRGL2,Prosopis glandulosa,,
EIT01,MATR3,Mahonia trifoliolata,,
EIT02,MATR3,Mahonia trifoliolata,,
EIT03,MATR3,Mahonia trifoliolata,,
EIT04,MATR3,Mahonia trifoliolata,,
EIT05,MATR3,Mahonia trifoliolata,,
EIT06,MATR3,Mahonia trifoliolata,,
EIT07,MATR3,Mahonia trifoliolata,,
EIT08,SOSE3,Sophora secundiflora,,
EIT09,SOSE3,Sophora secundiflora,,
EIT10,SOSE3,Sophora secundiflora,,
EIT11,SOSE3,Sophora secundiflora,,
EIT12,SOSE3,Sophora secundiflora,,
EIT13,SOSE3,Sophora secundiflora,,
EIT14,SOSE3,Sophora secundiflora,,
EIT15,RHVI3,Sophora secundiflora,,
EIT16,RHVI3,Rhus virens,,
EIT17,RHVI3,Rhus virens,,
EIT18,RHVI3,Rhus virens,,
EIT19,RHVI3,Rhus virens,,
EIT20,RHVI3,Rhus virens,,
EIT21,RHVI3,Rhus virens,,
